regimenId,regimenName,treatmentLine,ageCategory,regimenAddTime
377,AZT-3TC-3TC/NVP,First Line,,1/6/22 18:50
378,TDF-3TC-ATV/r,,,1/10/22 11:28
379,ABC-3TC-EFV/3TC,First Line,,1/10/22 12:30
380,2C=-AZT-3TC/ATV/r,Second Line,,1/11/22 9:22
381,2C=-AZT-3TC/ATV/r,,,1/11/22 9:34
382,ABC-3TC-LOPvr,Second Line,,1/11/22 10:33
383,TDF-3TC-ATZ,Second Line,,1/11/22 11:51
384,AZT-3TC-NVP,,,1/11/22 14:04
385,AZT-3TC-NVP,,,1/11/22 14:04
386,AZT-3TC-NVP,,,1/11/22 14:04
387,AZT-3TC-NVP,,,1/11/22 14:05
388,AZT-3TC-NVP,,,1/11/22 14:05
389,AZT-3TC-NVP,,,1/11/22 14:08
390,AZT-3TC-NVP,,,1/11/22 14:08
391,AZT-3TC-NVP,,,1/11/22 14:08
392,AZT-3TC-NVP,,,1/11/22 14:08
393,AZT-3TC-NVP,,,1/11/22 14:08
394,AZT-3TC-NVP,,,1/11/22 14:08
395,AZT-3TC-NVP,,,1/11/22 14:08
396,AZT-3TC-NVP,,,1/11/22 14:08
397,AZT-3TC-NVP,,,1/11/22 14:08
398,AZT-3TC-NVP,,,1/11/22 14:08
399,ABC-3TC-EFV,,,1/11/22 14:17
400,AZT-3TC-EFV,,,1/11/22 14:23
401,AZT-3TC-LPV/RTV,Second Line,,1/12/22 9:17
402,TDF-3TC-ATV/RTV,Second Line,,1/12/22 9:32
403,AZT-3TC-ATV/r,,,1/12/22 12:11
404,AZT-3TC-ATV-RTV,Second Line,,1/14/22 7:01
405,AZT-3TC-ATV-RTV,,,1/14/22 12:40
406,AZT-3TC-ATV-RTV,,,1/14/22 12:40
407,AZT-3TC-ATV-RTV,,,1/14/22 12:40
408,TDF-3TC-EFV/z,First Line,,1/17/22 13:30
409,TDF-3TC-EFZ/z,First Line,,1/17/22 13:44
410,AZT-3TC-LPV/r,,,1/18/22 9:37
411,TDF-3TC-EFV,,,1/18/22 10:14
412,AZT-3TC-ABC,Second Line,,1/18/22 11:57
413,DTG-RTV-DRV-TDF/3TC,Third Line,,1/18/22 12:56
414,ABC-3TC-LPV/r,,,1/18/22 13:07
415,AZT-3TC-NVP,,,1/18/22 13:09
416,ABC-3TC-DTG/DRV-r,Third Line,,1/19/22 12:00
417,ABC-3TC-LPV/r,,,1/19/22 12:21
418,ABC-3TC-DTG-DRV/r,Second Line,,1/19/22 12:31
419,AZT-3TC-NVP,,,1/19/22 14:29
420,AZT-3TC-ABC,First Line,,1/19/22 14:29
421,ABC-3TC-LPV-r,Second Line,,1/19/22 14:30
422,TDF-3TC-DTG,,,1/19/22 14:59
423,DRV-RTV-ETR-DTG,Third Line,,1/20/22 13:01
424,DRV-RTV-RAL-TDF/3TC,Third Line,,1/20/22 13:30
425,DTG-DRV-RTV-ETR,Third Line,,1/20/22 16:12
426,DTG-ETR-DRV/RTV,Third Line,,1/20/22 16:15
427,TDF-3TC-RAL-DRV/RTV,Third Line,,1/20/22 16:24
428,AZT-3TC-ATV/r,,,1/24/22 9:57
429,AZT-3TC-LPVr,Second Line,,1/25/22 6:02
430,ABC-3TC-DTG/DRV/r,Third Line,,1/25/22 13:40
431,TDF-3TC-ATV/r,,,1/26/22 8:47
432,TDF-3TC-DTG,,,1/26/22 8:49
433,TDF-3TC-DTG,,,1/26/22 8:57
434,DRV-ETV-DTG-RTV,Third Line,,1/26/22 9:42
435,DRV-RTV-DTG-TDF/3TC,,,1/27/22 6:56
436,ABC-3TC-ATZ-r,Second Line,,1/27/22 8:24
437,TDF-3TC-ATZ-r,Second Line,,1/27/22 10:15
438,ABC-3TC-ATV-RTV,Second Line,,1/28/22 7:01
439,TDF-3TC-DTG,,,1/28/22 7:33
440,TDF-3TC-DTG,,,1/28/22 7:56
441,AZT+3TC+ATV/R,First Line,,1/28/22 7:59
442,TDF+3TC+ATV/R,First Line,,1/28/22 8:10
443,ABC-3TC-LPV/r,,,1/30/22 11:42
444,ABC-3TC-LPV/r,,,1/31/22 10:54
445,ABC-3TC-LPV,First Line,,1/31/22 15:30
446,ABC-3TC-LPV/r,,,2/1/22 4:00
447,ABC-DTG-3TC,Second Line,,2/1/22 9:12
